time,Rn_air__Bqm3,Rn_gw_surf__Bqm3,Rn_gw_btm__Bqm3,Ra226_wat__Bqm3,Rn_exch__Bqm3,Rn_wat__Bqm3,Rn_wat_surf__Bqm3,Rn_wat_btm__Bqm3,Rn_dws__Bqm3,q_dws__m3d,Rn_ups__Bqm3,q_ups__m3d,v_box__m3,a_box__m2,temp_wat__C,sal_wat,sal_dws,sal_ups,sal_btm,wat_current__cms,wind__ms,depth__m,f_dif__Bqm2hr
2012-01-26 11:10,0.17,1900,1900,0.17,,127.8,17.83,142.74,25,2,25,2,1000,100,17.96,21.46,28,0.1,29.71,,3,0.77,29.28
2012-01-26 12:10,0.17,1900,1900,0.17,,123.13,19.06,152.08,25,2,25,2,1000,100,19.46,15.09,28,0.1,28.53,,3,0.43,29.28
2012-01-26 13:10,0.17,1900,1900,0.17,,105.43,19.47,132.7,25,2,25,2,1000,100,19.74,13.56,28,0.1,29.6,,3,0.38,29.28
2012-01-26 14:10,0.17,1900,1900,0.17,,98.05,19.21,114.37,25,2,25,2,1000,100,19.36,14.45,28,0.1,29.37,,3,0.3,29.28
2012-01-26 15:10,0.17,1900,1900,0.17,,129.61,19.53,200.3,25,2,25,2,1000,100,19.58,13.98,28,0.1,30.29,,3,0.55,29.28
2012-01-26 16:10,0.17,1900,1900,0.17,,88.55,19.7,104.99,25,2,25,2,1000,100,20.01,13.18,28,0.1,30.31,,3,0.45,29.28
2012-01-26 17:10,0.17,1900,1900,0.17,,98.18,19.2,152.36,25,2,25,2,1000,100,19.07,15.89,28,0.1,29.82,,3,0.39,29.28
2012-01-26 18:10,0.17,1900,1900,0.17,,70.16,20.79,107.57,25,2,25,2,1000,100,19.13,16.15,28,0.1,29.44,,3,0.4,29.28
2012-01-26 19:10,0.17,1900,1900,0.17,,90.88,18.83,93.05,25,2,25,2,1000,100,19.2,12.82,28,0.1,29.56,,3,0.3,29.28
2012-01-26 20:10,0.17,1900,1900,0.17,,65.1,19.3,113.02,25,2,25,2,1000,100,19.25,10.91,28,0.1,29.98,,3,0.22,29.28
2012-01-26 21:10,0.17,1900,1900,0.17,,98.46,19.06,114.29,25,2,25,2,1000,100,18.94,10.28,28,0.1,29.78,,3,0.34,29.28
2012-01-26 22:10,0.17,1900,1900,0.17,,172.83,18.97,47.68,25,2,25,2,1000,100,18.88,7.64,28,0.1,30.2,,3,0.3,29.28
2012-01-26 23:10,0.17,1900,1900,0.17,,189.42,18.98,124.47,25,2,25,2,1000,100,18.94,8.1,28,0.1,30.31,,3,0.44,29.28
2012-01-27 0:10,0.17,1900,1900,0.17,,162.83,19.36,219.84,25,2,25,2,1000,100,19.09,6.63,28,0.1,29.53,,3,0.32,29.28
2012-01-27 1:10,0.17,1900,1900,0.17,,144.05,19.91,229,25,2,25,2,1000,100,20.07,4.65,28,0.1,29.37,,3,0.34,29.28
2012-01-27 2:10,0.17,1900,1900,0.17,,135.04,20.15,151.41,25,2,25,2,1000,100,20.11,3.29,28,0.1,28.54,,3,0.31,29.28
2012-01-27 3:10,0.17,1900,1900,0.17,,150.71,20.26,114.34,25,2,25,2,1000,100,20.18,3.28,28,0.1,28.94,,3,0.32,29.28
2012-01-27 4:10,0.17,1900,1900,0.17,,165.96,20.34,248.04,25,2,25,2,1000,100,20.39,3.22,28,0.1,28.87,,3,0.34,29.28
2012-01-27 5:10,0.17,1900,1900,0.17,,182.41,20.23,246.6,25,2,25,2,1000,100,20.07,3.59,28,0.1,28.14,,3,0.37,29.28
